Date,Share Code,Year High (GHS),Year Low (GHS),Previous Closing Price VWAP (GHS),Opening Price (GHS),Closing Price VWAP (GHS),Price Change (GHS),Closing Bid Price (GHS),Last Transaction Price (GHS),Total Shares Traded,Closing Offer Price (GHS),,,,,,,,,,,
2017-04-24,BOPP,3.22,2.08,3.21,3.21,3.22,0.01,3.22,3.22,800,,,,,,,,,,,,
2017-04-25,BOPP,3.5,2.08,3.22,3.22,3.5,0.28,3.23,3.5,500,,,,,,,,,,,,
2017-04-26,BOPP,3.5,2.08,3.5,3.5,3.22,-0.28,3.22,3.22,300,4,,,,,,,,,,,
2017-04-27,BOPP,3.5,2.08,3.22,3.22,3.22,0,3.22,3.22,0,,,,,,,,,,,,
2017-04-28,BOPP,3.5,2.08,3.22,3.22,3.22,0,3.24,3.22,0,,,,,,,,,,,,
2017-05-02,BOPP,3.5,2.08,3.22,3.22,3.22,0,3.22,3.22,0,,,,,,,,,,,,
2017-05-03,BOPP,3.5,2.08,3.22,3.22,3.22,0,3.23,3.22,0,,,,,,,,,,,,
2017-05-04,BOPP,3.5,2.08,3.22,3.22,3.25,0.03,3.24,3.27,1700,,,,,,,,,,,,
2017-05-05,BOPP,3.5,2.08,3.25,3.25,3.29,0.04,3.3,3.3,500,,,,,,,,,,,,
2017-05-08,BOPP,3.5,2.08,3.29,3.29,3.29,0,3.3,3.3,0,,,,,,,,,,,,
2017-05-09,BOPP,3.5,2.08,3.29,3.29,3.29,0,3.29,3.3,0,,,,,,,,,,,,
2017-05-10,BOPP,3.5,2.08,3.29,3.29,3.5,0.21,3.5,3.5,1500,,,,,,,,,,,,
2017-05-11,BOPP,3.5,2.08,3.5,3.5,3.5,0,3.5,3.5,0,,,,,,,,,,,,
2017-05-12,BOPP,3.5,2.08,3.5,3.5,3.5,0,3.5,3.5,0,,,,,,,,,,,,
2017-05-15,BOPP,3.5,2.08,3.5,3.5,3.5,0,3.22,3.5,0,,,,,,,,,,,,
2017-05-16,BOPP,3.5,2.08,3.5,3.5,3.5,0,3.7,3.5,0,4,,,,,,,,,,,
2017-05-17,BOPP,3.5,2.08,3.5,3.5,3.66,0.16,3.55,3.5,400,,,,,,,,,,,,
2017-05-18,BOPP,3.66,2.08,3.66,3.66,3.52,-0.14,3.5,3.52,500,,,,,,,,,,,,
2017-05-19,BOPP,3.66,2.08,3.52,3.66,3.52,0,3.52,3.52,0,4,,,,,,,,,,,
2017-05-22,BOPP,3.66,2.08,3.52,3.66,3.53,0.01,3.52,3.52,300,,,,,,,,,,,,
2017-05-23,BOPP,3.66,2.08,3.53,3.66,3.53,0,3.53,3.52,0,,,,,,,,,,,,
2017-05-24,BOPP,3.66,2.08,3.53,3.66,3.55,0.02,3.55,3.52,5200,,,,,,,,,,,,
2017-05-26,BOPP,3.66,2.08,3.55,3.66,3.55,0,3.55,3.52,0,,,,,,,,,,,,
2017-05-29,BOPP,3.66,2.08,3.55,3.66,3.56,0.01,3.55,3.52,1700,,,,,,,,,,,,
2017-05-30,BOPP,3.66,2.08,3.56,3.66,3.56,0,3.56,3.52,0,,,,,,,,,,,,
2017-05-31,BOPP,3.66,2.08,3.56,3.66,3.56,0,,3.52,0,,,,,,,,,,,,
2017-06-01,BOPP,3.66,2.08,3.56,3.66,3.56,0,3.56,3.52,0,,,,,,,,,,,,
2017-06-02,BOPP,3.66,2.08,3.56,3.66,3.56,0,3.56,3.52,0,4,,,,,,,,,,,
2017-06-05,BOPP,3.66,2.08,3.56,3.66,3.56,0,3.56,3.52,0,,,,,,,,,,,,
