"account no","rate pa","rateable value","current amount",arrears,"rate impose","total paid","account balance","bill type","bill year ","bill date"
BB-AY00089,50,0,50,0,,0,50,b,2018,"2018-12-06 00:00:00"
PR-AY00340,0,0,60,0,,0,60,p,2018,"2018-12-24 00:00:00"
PR-AY00338,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00336,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00334,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
PR-AY00332,0,0,85,0,,0,85,p,2018,"2018-12-24 00:00:00"
PR-AY00330,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00328,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00326,0,0,70,0,,0,70,p,2018,"2018-12-24 00:00:00"
PR-AY00324,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00322,0,0,90,0,,0,90,p,2018,"2018-12-24 00:00:00"
PR-AY00320,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00318,0,0,100,0,,0,100,p,2018,"2018-12-24 00:00:00"
PR-AY00316,0,0,75,0,,0,75,p,2018,"2018-12-24 00:00:00"
